source,target,type,weight
EPS 100A,EPS 100B,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS C82,EPS 103,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS C82,EPS 203,directed,3
EPS 104,EPS 204,directed,3
EPS 130,EPS 207,directed,3
EPS 204,EPS 207,directed,3
EPS 101,EPS 210,directed,3
EPS 118,EPS 210,directed,3
EPS 116,EPS 216,directed,3
EPS 108,EPS 236,directed,3
EPS 50,EPS 271,directed,3
EPS 100A,EPS 100B,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS C82,EPS 103,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS C82,EPS 203,directed,3
EPS 104,EPS 204,directed,3
EPS 130,EPS 207,directed,3
EPS 204,EPS 207,directed,3
EPS 101,EPS 210,directed,3
EPS 118,EPS 210,directed,3
EPS 116,EPS 216,directed,3
EPS 108,EPS 236,directed,3
EPS 50,EPS 271,directed,3
EPS 100A,EPS 100B,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS C82,EPS 103,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS C82,EPS 203,directed,3
EPS 104,EPS 204,directed,3
EPS 130,EPS 207,directed,3
EPS 204,EPS 207,directed,3
EPS 101,EPS 210,directed,3
EPS 118,EPS 210,directed,3
EPS 116,EPS 216,directed,3
EPS 108,EPS 236,directed,3
EPS 50,EPS 271,directed,3
EPS 100A,EPS 100B,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS C82,EPS 103,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS C82,EPS 203,directed,3
EPS 104,EPS 204,directed,3
EPS 130,EPS 207,directed,3
EPS 204,EPS 207,directed,3
EPS 101,EPS 210,directed,3
EPS 118,EPS 210,directed,3
EPS 116,EPS 216,directed,3
EPS 108,EPS 236,directed,3
EPS 50,EPS 271,directed,3
EPS 100A,EPS 100B,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS C82,EPS 103,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS C82,EPS 203,directed,3
EPS 104,EPS 204,directed,3
EPS 130,EPS 207,directed,3
EPS 204,EPS 207,directed,3
EPS 101,EPS 210,directed,3
EPS 118,EPS 210,directed,3
EPS 116,EPS 216,directed,3
EPS 108,EPS 236,directed,3
EPS 50,EPS 271,directed,3
