source,target,type,weight
SEASIAN 10B,SEASIAN 138,directed,3
SASIAN 1A,SASIAN 128,directed,3
SASIAN 1B,SASIAN 128,directed,3
SASIAN 110,SASIAN 128,directed,3
BANGLA 1A,BANGLA 1B,directed,3
BANGLA 1B,BANGLA 101A,directed,3
BANGLA 101A,BANGLA 101B,directed,3
BURMESE 1A,BURMESE 1B,directed,3
BURMESE 1A,BURMESE 100B,directed,3
FILIPN 1A,FILIPN W1Y,directed,3
FILIPN W1X,FILIPN W1Y,directed,3
FILIPN 15,FILIPN 100AB,directed,3
FILIPN 1A,FILIPN W100A,directed,3
FILIPN 1B,FILIPN W100A,directed,3
FILIPN W1X,FILIPN W100A,directed,3
FILIPN W1Y,FILIPN W100A,directed,3
FILIPN 100A,FILIPN W100B,directed,3
FILIPN W100A,FILIPN W100B,directed,3
FILIPN 101A,FILIPN W101B,directed,3
FILIPN W120A,FILIPN W120B,directed,3
HINDI 1A,HINDI 100A,directed,3
HINDI 1B,HINDI 100A,directed,3
HINDI 1A,HINDI 100A,directed,3
KHMER 1A,KHMER 1B,directed,3
KHMER 100A,KHMER 100B,directed,3
PUNJABI 1B,PUNJABI 1A,directed,3
PUNJABI 1A,PUNJABI 1B,directed,3
PUNJABI 1B,PUNJABI 100A,directed,3
PUNJABI 100B,PUNJABI 100A,directed,3
PUNJABI 100A,PUNJABI 100B,directed,3
SANSKR 101B,SANSKR 101A,directed,3
SANSKR 101A,SANSKR 101B,directed,3
TELUGU 1B,TELUGU 1A,directed,3
TELUGU 1A,TELUGU 1B,directed,3
THAI 1B,THAI 100A,directed,3
THAI 100A,THAI 100B,directed,3
THAI 100A,THAI 101A,directed,3
THAI 100A,THAI 101B,directed,3
URDU 1B,URDU 100B,directed,3
VIETNMS 1B,VIETNMS 1A,directed,3
VIETNMS 1A,VIETNMS 1B,directed,3
VIETNMS 100B,VIETNMS 100A,directed,3
VIETNMS 100B,VIETNMS 101A,directed,3
VIETNMS 101A,VIETNMS 101B,directed,3
SEASIAN 10B,SEASIAN 138,directed,3
SASIAN 1A,SASIAN 128,directed,3
SASIAN 1B,SASIAN 128,directed,3
SASIAN 110,SASIAN 128,directed,3
BANGLA 1A,BANGLA 1B,directed,3
BANGLA 1B,BANGLA 101A,directed,3
BANGLA 101A,BANGLA 101B,directed,3
BURMESE 1A,BURMESE 1B,directed,3
BURMESE 1A,BURMESE 100B,directed,3
FILIPN 1A,FILIPN W1Y,directed,3
FILIPN W1X,FILIPN W1Y,directed,3
FILIPN 15,FILIPN 100AB,directed,3
FILIPN 1A,FILIPN W100A,directed,3
FILIPN 1B,FILIPN W100A,directed,3
FILIPN W1X,FILIPN W100A,directed,3
FILIPN W1Y,FILIPN W100A,directed,3
FILIPN 100A,FILIPN W100B,directed,3
FILIPN W100A,FILIPN W100B,directed,3
FILIPN 101A,FILIPN W101B,directed,3
FILIPN W120A,FILIPN W120B,directed,3
HINDI 1A,HINDI 100A,directed,3
