source,target,type,weight
AFRICAM 4A,AFRICAM 14A,directed,3
AFRICAM 4B,AFRICAM 14B,directed,3
AFRICAM 5B,AFRICAM 121,directed,3
AFRICAM 116,AFRICAM 121,directed,3
AFRICAM 117,AFRICAM 121,directed,3
AFRICAM 5B,AFRICAM 122,directed,3
AFRICAM 5B,AFRICAM 138,directed,3
AFRICAM 156AC,AFRICAM 158A,directed,3
AFRICAM 158A,AFRICAM 158B,directed,3
AFRICAM 4A,AFRICAM 14A,directed,3
AFRICAM 4B,AFRICAM 14B,directed,3
AFRICAM 5B,AFRICAM 121,directed,3
AFRICAM 116,AFRICAM 121,directed,3
AFRICAM 117,AFRICAM 121,directed,3
AFRICAM 5B,AFRICAM 122,directed,3
AFRICAM 5B,AFRICAM 138,directed,3
AFRICAM 156AC,AFRICAM 158A,directed,3
AFRICAM 158A,AFRICAM 158B,directed,3
AFRICAM 4A,AFRICAM 14A,directed,3
AFRICAM 4B,AFRICAM 14B,directed,3
AFRICAM 5B,AFRICAM 121,directed,3
AFRICAM 116,AFRICAM 121,directed,3
AFRICAM 117,AFRICAM 121,directed,3
AFRICAM 5B,AFRICAM 122,directed,3
AFRICAM 5B,AFRICAM 138,directed,3
AFRICAM 156AC,AFRICAM 158A,directed,3
AFRICAM 158A,AFRICAM 158B,directed,3
AFRICAM 4A,AFRICAM 14A,directed,3
AFRICAM 4B,AFRICAM 14B,directed,3
AFRICAM 5B,AFRICAM 121,directed,3
AFRICAM 116,AFRICAM 121,directed,3
AFRICAM 117,AFRICAM 121,directed,3
AFRICAM 5B,AFRICAM 122,directed,3
AFRICAM 5B,AFRICAM 138,directed,3
AFRICAM 156AC,AFRICAM 158A,directed,3
AFRICAM 158A,AFRICAM 158B,directed,3
AFRICAM 4A,AFRICAM 14A,directed,3
AFRICAM 4B,AFRICAM 14B,directed,3
AFRICAM 5B,AFRICAM 121,directed,3
AFRICAM 116,AFRICAM 121,directed,3
AFRICAM 117,AFRICAM 121,directed,3
AFRICAM 5B,AFRICAM 122,directed,3
AFRICAM 5B,AFRICAM 138,directed,3
AFRICAM 156AC,AFRICAM 158A,directed,3
AFRICAM 158A,AFRICAM 158B,directed,3
AFRICAM 4A,AFRICAM 14A,directed,3
AFRICAM 4B,AFRICAM 14B,directed,3
AFRICAM 5B,AFRICAM 121,directed,3
AFRICAM 116,AFRICAM 121,directed,3
AFRICAM 117,AFRICAM 121,directed,3
AFRICAM 5B,AFRICAM 122,directed,3
AFRICAM 5B,AFRICAM 138,directed,3
AFRICAM 156AC,AFRICAM 158A,directed,3
AFRICAM 158A,AFRICAM 158B,directed,3
AFRICAM 4A,AFRICAM 14A,directed,3
AFRICAM 4B,AFRICAM 14B,directed,3
AFRICAM 5B,AFRICAM 121,directed,3
AFRICAM 116,AFRICAM 121,directed,3
AFRICAM 117,AFRICAM 121,directed,3
AFRICAM 5B,AFRICAM 122,directed,3
AFRICAM 5B,AFRICAM 138,directed,3
AFRICAM 156AC,AFRICAM 158A,directed,3
AFRICAM 158A,AFRICAM 158B,directed,3
AFRICAM 4A,AFRICAM 14A,directed,3
AFRICAM 4B,AFRICAM 14B,directed,3
AFRICAM 5B,AFRICAM 121,directed,3
AFRICAM 116,AFRICAM 121,directed,3
AFRICAM 117,AFRICAM 121,directed,3
AFRICAM 5B,AFRICAM 122,directed,3
AFRICAM 5B,AFRICAM 138,directed,3
AFRICAM 156AC,AFRICAM 158A,directed,3
AFRICAM 158A,AFRICAM 158B,directed,3
AFRICAM 4A,AFRICAM 14A,directed,3
AFRICAM 4B,AFRICAM 14B,directed,3
AFRICAM 5B,AFRICAM 121,directed,3
AFRICAM 116,AFRICAM 121,directed,3
AFRICAM 117,AFRICAM 121,directed,3
AFRICAM 5B,AFRICAM 122,directed,3
AFRICAM 5B,AFRICAM 138,directed,3
AFRICAM 156AC,AFRICAM 158A,directed,3
AFRICAM 158A,AFRICAM 158B,directed,3
AFRICAM 4A,AFRICAM 14A,directed,3
AFRICAM 4B,AFRICAM 14B,directed,3
AFRICAM 5B,AFRICAM 121,directed,3
AFRICAM 116,AFRICAM 121,directed,3
AFRICAM 117,AFRICAM 121,directed,3
AFRICAM 5B,AFRICAM 122,directed,3
AFRICAM 5B,AFRICAM 138,directed,3
AFRICAM 156AC,AFRICAM 158A,directed,3
AFRICAM 158A,AFRICAM 158B,directed,3
AFRICAM 4A,AFRICAM 14A,directed,3
AFRICAM 4B,AFRICAM 14B,directed,3
AFRICAM 5B,AFRICAM 121,directed,3
AFRICAM 116,AFRICAM 121,directed,3
AFRICAM 117,AFRICAM 121,directed,3
AFRICAM 5B,AFRICAM 122,directed,3
AFRICAM 5B,AFRICAM 138,directed,3
AFRICAM 156AC,AFRICAM 158A,directed,3
AFRICAM 158A,AFRICAM 158B,directed,3
AFRICAM 4A,AFRICAM 14A,directed,3
AFRICAM 4B,AFRICAM 14B,directed,3
AFRICAM 5B,AFRICAM 121,directed,3
AFRICAM 116,AFRICAM 121,directed,3
AFRICAM 117,AFRICAM 121,directed,3
AFRICAM 5B,AFRICAM 122,directed,3
AFRICAM 5B,AFRICAM 138,directed,3
AFRICAM 156AC,AFRICAM 158A,directed,3
AFRICAM 158A,AFRICAM 158B,directed,3
AFRICAM 4A,AFRICAM 14A,directed,3
AFRICAM 4B,AFRICAM 14B,directed,3
AFRICAM 5B,AFRICAM 121,directed,3
AFRICAM 116,AFRICAM 121,directed,3
AFRICAM 117,AFRICAM 121,directed,3
AFRICAM 5B,AFRICAM 122,directed,3
AFRICAM 5B,AFRICAM 138,directed,3
AFRICAM 156AC,AFRICAM 158A,directed,3
AFRICAM 158A,AFRICAM 158B,directed,3
AFRICAM 4A,AFRICAM 14A,directed,3
AFRICAM 4B,AFRICAM 14B,directed,3
AFRICAM 5B,AFRICAM 121,directed,3
AFRICAM 116,AFRICAM 121,directed,3
AFRICAM 117,AFRICAM 121,directed,3
AFRICAM 5B,AFRICAM 122,directed,3
AFRICAM 5B,AFRICAM 138,directed,3
AFRICAM 156AC,AFRICAM 158A,directed,3
AFRICAM 158A,AFRICAM 158B,directed,3
AMERSTD 10,AMERSTD 10AC,directed,3
AMERSTD 10,AMERSTD 10AC,directed,3
AMERSTD 10,AMERSTD 10AC,directed,3
AMERSTD 10,AMERSTD 110AC,directed,3
AMERSTD 10,AMERSTD 121,directed,3
AMERSTD 10,AMERSTD 132Y,directed,3
AMERSTD 5,AMERSTD 132Y,directed,3
AMERSTD 10,AMERSTD 142Y,directed,3
AMERSTD 5,AMERSTD 142Y,directed,3
AMERSTD 10,AMERSTD 170AC,directed,3
AMERSTD 10,AMERSTD 178AC,directed,3
AMERSTD 10,AMERSTD 179AC,directed,3
AMERSTD 10,AMERSTD 190,directed,3
AMERSTD 101,AMERSTD H195,directed,3
AMERSTD 10,AMERSTD 5,directed,3
AMERSTD 10,AMERSTD 10AC,directed,3
AMERSTD 10,AMERSTD 10AC,directed,3
AMERSTD 10,AMERSTD 10AC,directed,3
AMERSTD 10,AMERSTD 110AC,directed,3
AMERSTD 10,AMERSTD 121,directed,3
AMERSTD 10,AMERSTD 132Y,directed,3
AMERSTD 5,AMERSTD 132Y,directed,3
AMERSTD 10,AMERSTD 142Y,directed,3
AMERSTD 5,AMERSTD 142Y,directed,3
AMERSTD 10,AMERSTD 170AC,directed,3
AMERSTD 178AC,AMERSTD 170AC,directed,3
AMERSTD 10,AMERSTD 178AC,directed,3
AMERSTD 10,AMERSTD 179AC,directed,3
AMERSTD 10,AMERSTD 190,directed,3
AMERSTD 101,AMERSTD H195,directed,3
AMERSTD 10,AMERSTD 5,directed,3
AMERSTD 10,AMERSTD 10AC,directed,3
AMERSTD 10,AMERSTD 10AC,directed,3
AMERSTD 10,AMERSTD 10AC,directed,3
AMERSTD 10,AMERSTD 110AC,directed,3
AMERSTD 10,AMERSTD 121,directed,3
AMERSTD 10,AMERSTD 132Y,directed,3
AMERSTD 5,AMERSTD 132Y,directed,3
AMERSTD 10,AMERSTD 142Y,directed,3
